frame,rot_ke,trans_ke,effi
229,2.612200e-20,3.166784e-21,8.918773e+01,
230,2.612446e-20,4.964617e-21,8.403099e+01,
231,2.612963e-20,5.579903e-21,8.240307e+01,
232,2.613102e-20,7.051260e-21,7.874992e+01,
233,2.612183e-20,9.572928e-21,7.318114e+01,
234,2.610548e-20,1.192631e-20,6.864120e+01,
235,2.608993e-20,1.340935e-20,6.605165e+01,
236,2.607003e-20,1.561045e-20,6.254733e+01,
237,2.604985e-20,1.760249e-20,5.967572e+01,
238,2.603203e-20,1.969438e-20,5.692996e+01,
239,2.601161e-20,2.404000e-20,5.196958e+01,
240,2.598835e-20,2.465000e-20,5.132148e+01,
241,5.192938e-20,2.949214e-20,6.377845e+01,
242,5.188487e-20,3.267617e-20,6.135789e+01,
243,5.184114e-20,3.487121e-20,5.978519e+01,
244,5.179775e-20,3.189610e-20,6.188956e+01,
245,5.176333e-20,2.886845e-20,6.419718e+01,
246,2.586898e-20,2.567243e-20,5.019067e+01,
247,2.585525e-20,2.572562e-20,5.012565e+01,
248,2.583630e-20,2.230510e-20,5.366754e+01,
249,2.581159e-20,2.053872e-20,5.568807e+01,
250,2.579082e-20,1.795496e-20,5.895613e+01,
251,2.577078e-20,1.736879e-20,5.973815e+01,
252,2.575226e-20,1.751526e-20,5.951868e+01,
253,2.573630e-20,2.051888e-20,5.563982e+01,
254,2.572144e-20,2.334101e-20,5.242592e+01,
255,2.570442e-20,2.658986e-20,4.915341e+01,
256,5.137879e-20,2.898030e-20,6.393650e+01,
257,5.136330e-20,3.124795e-20,6.217471e+01,
258,5.136211e-20,3.770188e-20,5.766877e+01,
259,5.135706e-20,3.889550e-20,5.690372e+01,
260,5.135855e-20,4.742355e-20,5.199176e+01,
261,7.704695e-20,5.447139e-20,5.858267e+01,
262,7.704884e-20,6.154847e-20,5.559187e+01,
263,7.706744e-20,6.222946e-20,5.532603e+01,
264,7.708453e-20,5.553237e-20,5.812572e+01,
265,5.140289e-20,5.111279e-20,5.014149e+01,
266,5.141716e-20,4.217325e-20,5.493849e+01,
267,5.143388e-20,3.313799e-20,6.081677e+01,
268,5.144014e-20,2.921047e-20,6.378146e+01,
269,5.144739e-20,2.692128e-20,6.564791e+01,
270,2.573316e-20,2.000174e-20,5.626591e+01,
271,2.574366e-20,1.279855e-20,6.679341e+01,
272,2.575399e-20,7.359261e-21,7.777548e+01,
273,2.576867e-20,3.687341e-21,8.748187e+01,
274,2.577807e-20,1.659584e-21,9.395144e+01,
275,2.578868e-20,1.395557e-21,9.486630e+01,
276,2.580111e-20,1.275992e-21,9.528756e+01,
277,2.581590e-20,2.188335e-21,9.218570e+01,
278,2.583199e-20,3.806650e-21,8.715646e+01,
279,2.584587e-20,5.311946e-21,8.295148e+01,
280,2.586213e-20,9.969762e-21,7.217629e+01,
281,2.588124e-20,1.314716e-20,6.631386e+01,
282,2.590454e-20,1.787675e-20,5.916806e+01,
283,2.593190e-20,2.179874e-20,5.432967e+01,
284,2.596302e-20,2.450009e-20,5.144950e+01,
285,2.598952e-20,2.915122e-20,4.713307e+01,
286,5.203642e-20,3.381290e-20,6.061367e+01,
287,5.207864e-20,3.596921e-20,5.914811e+01,
288,5.211156e-20,3.853991e-20,5.748562e+01,
289,5.213488e-20,3.910513e-20,5.714037e+01,
290,5.215729e-20,3.979960e-20,5.671929e+01,
291,5.217855e-20,3.879825e-20,5.735368e+01,
292,5.219925e-20,3.431696e-20,6.033464e+01,
293,5.221663e-20,3.275493e-20,6.145189e+01,
294,5.223529e-20,2.740210e-20,6.559141e+01,
295,2.612763e-20,2.365056e-20,5.248811e+01,
296,2.613859e-20,1.865291e-20,5.835614e+01,
297,2.615478e-20,1.327942e-20,6.632513e+01,
298,2.617212e-20,8.852287e-21,7.472538e+01,
299,2.618581e-20,4.762413e-21,8.461167e+01,
300,2.619999e-20,2.567158e-21,9.107608e+01,
301,2.621048e-20,1.936312e-21,9.312066e+01,
302,2.622397e-20,1.922136e-21,9.317086e+01,
303,2.623845e-20,3.420962e-21,8.846585e+01,
304,2.625190e-20,4.150793e-21,8.634729e+01,
305,2.626308e-20,4.938219e-21,8.417303e+01,
306,2.627273e-20,7.707331e-21,7.731808e+01,
307,2.627672e-20,8.811501e-21,7.488758e+01,
308,2.627348e-20,1.228271e-20,6.814334e+01,
309,2.626991e-20,1.134135e-20,6.984587e+01,
310,2.626406e-20,1.411774e-20,6.503935e+01,
311,2.625671e-20,1.619701e-20,6.184785e+01,
312,2.624584e-20,1.648043e-20,6.142787e+01,
313,2.623124e-20,2.159891e-20,5.484248e+01,
314,2.621163e-20,2.144731e-20,5.499834e+01,
315,2.618812e-20,2.194370e-20,5.440916e+01,
316,2.616130e-20,2.075781e-20,5.575831e+01,
317,2.613360e-20,2.216849e-20,5.410450e+01,
318,2.610135e-20,1.860451e-20,5.838463e+01,
319,2.606204e-20,1.855496e-20,5.841280e+01,
320,2.602266e-20,1.668085e-20,6.093799e+01,
321,2.597912e-20,1.939394e-20,5.725671e+01,
322,2.592653e-20,2.154577e-20,5.461401e+01,
323,2.586698e-20,2.185769e-20,5.420044e+01,
324,2.580621e-20,2.528866e-20,5.050647e+01,
325,2.574009e-20,2.920572e-20,4.684632e+01,
326,2.567045e-20,3.232912e-20,4.425972e+01,
327,2.559733e-20,3.706139e-20,4.085199e+01,
328,2.551950e-20,4.372120e-20,3.685622e+01,
329,2.543818e-20,5.498011e-20,3.163233e+01,
330,2.534976e-20,6.447708e-20,2.822070e+01,
331,5.052185e-20,6.860358e-20,4.241063e+01,
332,5.034469e-20,7.119791e-20,4.142144e+01,
333,5.017351e-20,7.777034e-20,3.921526e+01,
334,5.000055e-20,8.118447e-20,3.811453e+01,
335,4.982562e-20,8.309706e-20,3.748466e+01,
336,4.964921e-20,8.214935e-20,3.767053e+01,
337,4.947983e-20,7.443596e-20,3.993020e+01,
338,4.932119e-20,6.969862e-20,4.143948e+01,
339,4.916493e-20,6.710309e-20,4.228586e+01,
340,4.900932e-20,5.999130e-20,4.496242e+01,
341,4.885460e-20,5.697570e-20,4.616315e+01,
342,2.435256e-20,4.892588e-20,3.323291e+01,
343,2.428113e-20,3.499928e-20,4.095979e+01,
344,2.421975e-20,2.574924e-20,4.846956e+01,
345,2.416708e-20,1.678204e-20,5.901735e+01,
346,2.412632e-20,1.157915e-20,6.757037e+01,
347,2.409093e-20,6.178243e-21,7.958899e+01,
348,2.406587e-20,3.842407e-21,8.623202e+01,
349,2.404425e-20,2.662675e-21,9.003002e+01,
350,2.402678e-20,1.439129e-21,9.434880e+01,
351,2.401970e-20,3.019944e-21,8.883142e+01,
352,2.402188e-20,5.739172e-21,8.071583e+01,
353,2.403294e-20,7.967265e-21,7.510245e+01,
354,2.404562e-20,1.356498e-20,6.393310e+01,
355,2.406933e-20,1.731507e-20,5.816039e+01,
356,2.409882e-20,1.929124e-20,5.553996e+01,
